# 3D point list
# POINT3D_ID, X, Y, Z, R, G, B, ERROR
74 -27.515036714 -41.629060474 169.267694605 255 255 255 1.0
75 1.125180892 -12.410195066 59.612454853 255 255 255 1.0
76 27.976454917 -10.918187916 154.337404493 255 255 255 1.0
77 -3.937569795 -13.267704117 145.908875739 255 255 255 1.0
78 -13.301727925 21.154330845 82.305741399 255 255 255 1.0
79 4.090018951 0.408145571 137.160004758 255 255 255 1.0
80 -8.322845251 -23.837189091 153.708044607 255 255 255 1.0
81 3.827781199 18.973078679 114.356308965 255 255 255 1.0
82 19.734011898 -42.472446947 170.697068370 255 255 255 1.0
83 -4.452445109 -28.135894827 153.691056221 255 255 255 1.0
84 21.668356127 3.295077960 119.481269387 255 255 255 1.0
85 43.975000063 0.943078149 167.397378577 255 255 255 1.0
86 -19.577451972 -26.160043583 151.173039099 255 255 255 1.0
87 -11.402029105 -15.654470600 123.363017840 255 255 255 1.0
88 -2.072048143 -45.941203155 167.476193245 255 255 255 1.0
89 19.170657766 -6.803922472 151.898058473 255 255 255 1.0
90 3.250742320 19.671696751 83.841646410 255 255 255 1.0
91 -45.534034179 -32.053694463 148.683155590 255 255 255 1.0
92 -4.465507979 -14.844936725 53.635275357 255 255 255 1.0
93 -2.536784380 -23.774705228 149.774454284 255 255 255 1.0
94 7.612959086 2.957458854 127.832132449 255 255 255 1.0
95 8.433937246 -43.836020567 169.565988314 255 255 255 1.0
96 -2.699385009 3.742688319 51.813072048 255 255 255 1.0
97 11.220848818 19.155784901 96.502834784 255 255 255 1.0
98 -9.698623359 19.826081103 111.788841092 255 255 255 1.0
99 -7.424437676 -38.925360198 170.350443645 255 255 255 1.0
100 -53.421640855 -45.589244114 194.886324254 255 255 255 1.0
101 21.216697799 -0.552914367 111.669594068 255 255 255 1.0
102 -24.317835085 -48.476330300 163.924153053 255 255 255 1.0
103 16.973083173 2.800972073 131.897234528 255 255 255 1.0
104 0.779328308 19.833259931 122.631398290 255 255 255 1.0
105 -2.335978368 1.354068778 134.954865171 255 255 255 1.0
106 -39.483857119 -48.500657947 166.872663406 255 255 255 1.0
107 14.532681943 -41.379629596 171.620417427 255 255 255 1.0
108 -21.014092175 17.910343092 93.463629674 255 255 255 1.0
109 -4.654364676 18.931329950 98.700287965 255 255 255 1.0
110 28.369028257 14.857073521 137.490676606 255 255 255 1.0
111 7.687707211 19.909184756 121.706346497 255 255 255 1.0
112 -20.156668102 21.646754621 101.394195198 255 255 255 1.0
113 22.822274190 -43.805995745 173.928002996 255 255 255 1.0
114 -17.620533706 -14.246589085 145.785258545 255 255 255 1.0
115 19.820296219 9.485586922 99.073670023 255 255 255 1.0
116 1.205097627 0.251399384 122.502888779 255 255 255 1.0
117 -40.236392134 -49.956679494 162.395435662 255 255 255 1.0
118 10.361482607 -44.362189648 185.106425463 255 255 255 1.0
119 16.715724503 13.475219869 140.443931736 255 255 255 1.0
120 25.971998191 13.668349674 136.091751384 255 255 255 1.0
121 18.614315828 3.557701671 95.677122853 255 255 255 1.0
122 -12.230593412 3.270124911 114.268138604 255 255 255 1.0
123 7.712506801 4.173742014 121.010449095 255 255 255 1.0
124 -46.842574149 -45.770676486 177.010334037 255 255 255 1.0
125 9.890019900 2.524434447 138.255849690 255 255 255 1.0
126 18.644745486 18.560082407 124.474347388 255 255 255 1.0
127 31.803531591 12.033867189 116.898232976 255 255 255 1.0
128 -19.083805938 18.795550981 108.216079069 255 255 255 1.0
129 -13.923345326 20.204295253 105.424660955 255 255 255 1.0
130 25.361534593 -14.125317876 116.919735488 255 255 255 1.0
131 8.793243302 -8.179425532 56.923527214 255 255 255 1.0
132 -6.974337838 -39.131265329 169.803703846 255 255 255 1.0
133 -2.614541025 -35.448208585 170.214637999 255 255 255 1.0
134 -3.520552420 -34.792926992 170.008003017 255 255 255 1.0
135 -27.826341096 20.539191617 130.240611741 255 255 255 1.0
