pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_085-frame_086,268,0,nan,1.3739247763260698
frame_086-frame_087,270,0,nan,0.31447238777588027
frame_087-frame_088,238,217,0.4762914232391496,6.223253635202832
frame_088-frame_089,255,154,0.8682686280398837,2.281726385546027
frame_089-frame_090,236,218,0.8086690838022489,6.1464709956061645
frame_090-frame_091,291,0,nan,0.43280833723247036
frame_091-frame_092,295,0,nan,0.20433999167741984
frame_092-frame_093,286,8,0.321788511380283,1.5069889350724281
frame_093-frame_094,268,0,nan,1.065443139119103
frame_094-frame_095,290,0,nan,0.822521949876648
frame_095-frame_096,285,12,0.7280062924637203,1.2273384649381893
frame_096-frame_097,270,0,nan,1.0530537907863815
frame_097-frame_098,303,0,nan,0.8005269234170193
frame_098-frame_099,283,0,nan,0.8745233577295461
frame_099-frame_100,312,0,nan,0.24293445587031745
frame_100-frame_101,293,19,0.16749802020647492,0.34801972294003275
frame_101-frame_102,273,11,0.42341861728991526,0.6528032106803449
frame_102-frame_103,310,45,0.23323876919979705,0.3903680605818356
frame_103-frame_104,290,0,nan,0.3887747285900432
frame_104-frame_105,268,4,0.36331724575956925,1.4401970484239097
frame_105-frame_106,270,93,0.4646439882105443,1.9111747329852968
frame_106-frame_107,267,0,nan,0.2589518243045984
frame_107-frame_108,305,11,0.7073796939572277,0.20803678326791608
frame_108-frame_109,316,39,0.5133901219677115,0.9408053156449837
frame_109-frame_110,273,249,0.6951427296023927,4.066782448054936
frame_110-frame_111,300,0,nan,1.0616906595438482
frame_111-frame_112,319,1,1.6478586750712982,1.0772842966317622
frame_112-frame_113,317,0,nan,1.0555164778946946
frame_113-frame_114,302,104,0.5659514281608857,1.9801523510298078
frame_114-frame_115,285,242,0.3474370753617725,2.8140263952563807
frame_115-frame_116,281,0,nan,0.9931730165470892
frame_116-frame_117,258,160,0.5571322449786523,3.103996121268734
frame_117-frame_118,285,268,0.4488564785154912,3.1462437080152785
frame_118-frame_119,310,275,0.37064816953819074,3.0754153595433795
frame_119-frame_120,298,153,0.32667526382730594,2.0449334228421074
frame_120-frame_121,308,114,0.4691167246910191,1.7357243142768444
frame_121-frame_122,263,44,0.2736810059079651,1.4461268525425284
frame_122-frame_123,281,1,0.6463753171240263,0.8990922414093724
frame_123-frame_124,283,30,0.42118337636362,1.6109444476272148
frame_124-frame_125,309,2,3.0334126901404868,0.8894762367067385
frame_125-frame_126,348,0,nan,1.0311173902340616
