# 3D point list
# POINT3D_ID, X, Y, Z, R, G, B, ERROR
113 -3.724830723 -4.114498346 28.992126794 255 255 255 1.0
114 -1.023988272 -33.885154693 127.509155164 255 255 255 1.0
115 -3.689506971 -4.081565663 29.250937108 255 255 255 1.0
116 -3.774919868 -3.567147900 26.446094142 255 255 255 1.0
117 -1.161403776 -3.935179217 29.303054978 255 255 255 1.0
118 -5.418282231 2.373180212 29.405689226 255 255 255 1.0
119 -3.391660062 -3.884590577 28.268208707 255 255 255 1.0
120 -0.111037770 -31.599497395 128.882376236 255 255 255 1.0
121 30.359533395 -27.319541019 134.045282637 255 255 255 1.0
122 -0.469695541 -3.798931914 29.457233856 255 255 255 1.0
123 -0.995040377 -3.486012555 26.728699389 255 255 255 1.0
124 -6.355419778 -3.978415842 30.428464089 255 255 255 1.0
125 -1.807172717 -7.018306159 36.039630784 255 255 255 1.0
126 -2.429818661 3.030729940 28.677525102 255 255 255 1.0
127 0.521529566 2.615747690 27.494760345 255 255 255 1.0
128 -3.272583748 -3.794364800 29.403265818 255 255 255 1.0
129 13.937629121 -13.943021352 86.765216210 255 255 255 1.0
130 -6.560108190 -3.922361832 30.642318871 255 255 255 1.0
131 0.536447307 -4.214257633 29.483939511 255 255 255 1.0
132 30.393538301 -47.530588203 169.670312069 255 255 255 1.0
133 -31.201934235 -3.106289921 96.171016204 255 255 255 1.0
134 -8.559819854 2.624834175 32.811594988 255 255 255 1.0
135 3.782032341 -4.528909094 34.180281655 255 255 255 1.0
136 -2.841511323 2.801695469 28.705986035 255 255 255 1.0
137 -0.789051175 3.866562326 26.421277660 255 255 255 1.0
138 0.483020841 -4.842224574 30.433674531 255 255 255 1.0
139 0.226269007 -22.368166844 84.755424129 255 255 255 1.0
140 5.475225770 -26.207428434 102.420737701 255 255 255 1.0
141 -3.973933162 -3.669016822 26.665681979 255 255 255 1.0
142 -4.453840260 -4.261253690 28.093127664 255 255 255 1.0
143 47.943426222 -33.603514248 194.369227206 255 255 255 1.0
144 -1.171490339 2.961263897 28.801449386 255 255 255 1.0
145 -0.572579203 -5.712120028 32.609040481 255 255 255 1.0
146 3.112066229 2.722108504 31.828432858 255 255 255 1.0
147 -0.743823076 -3.047648746 31.908050188 255 255 255 1.0
148 -4.661869184 -3.959628450 29.182683761 255 255 255 1.0
149 18.085696653 -29.255721446 108.148212734 255 255 255 1.0
150 -27.432910817 -7.266521503 98.165133597 255 255 255 1.0
151 2.988440694 1.860385968 31.875778337 255 255 255 1.0
152 -2.578994259 3.891261442 25.467008954 255 255 255 1.0
153 -4.032240891 -4.210804647 29.134231648 255 255 255 1.0
154 -11.671323880 3.437512110 267.094474809 255 255 255 1.0
155 1.180125979 1.609021674 12.891787327 255 255 255 1.0
156 -2.476192342 2.753297300 25.710462709 255 255 255 1.0
157 4.051802064 -4.591325799 34.646077530 255 255 255 1.0
158 49.826601805 -38.662975899 191.399974936 255 255 255 1.0
159 -17.157306482 3.630984978 52.232571743 255 255 255 1.0
160 4.550445103 -4.094548289 33.636819784 255 255 255 1.0
161 -0.872598726 -27.597055974 109.024929907 255 255 255 1.0
162 17.316835382 -21.646298693 115.828738484 255 255 255 1.0
163 -4.739126015 2.466855992 29.061554515 255 255 255 1.0
164 0.193267639 -34.349156321 126.416187653 255 255 255 1.0
165 12.386077941 4.372876658 69.122616305 255 255 255 1.0
166 -1.499595904 -3.809475344 29.355909589 255 255 255 1.0
167 0.819014018 -4.737363499 29.502188104 255 255 255 1.0
168 2.733235759 -3.757163640 30.738586285 255 255 255 1.0
169 15.493500382 -4.552165884 76.983541708 255 255 255 1.0
170 -3.627953068 -6.052154200 33.506343870 255 255 255 1.0
171 37.655619134 -63.801609525 217.072588259 255 255 255 1.0
172 3.570927436 -4.900709882 35.074550082 255 255 255 1.0
173 14.575908148 -22.661486828 121.564235797 255 255 255 1.0
174 -366.820851233 38.380815246 1211.848772992 255 255 255 1.0
175 -0.540488758 -3.513494482 25.353564514 255 255 255 1.0
176 -2.400678149 2.810765815 26.168685934 255 255 255 1.0
177 11.569602861 -24.183325932 126.183328848 255 255 255 1.0
178 23.909437170 -18.575230915 101.974936211 255 255 255 1.0
179 -7.417508181 2.100338226 39.416371975 255 255 255 1.0
180 26.516450590 -19.776610529 111.026289219 255 255 255 1.0
181 -6.570716124 -3.864426145 30.778655173 255 255 255 1.0
182 16.354894404 -22.207128070 111.841316714 255 255 255 1.0
183 1.151515033 1.740340157 12.880826166 255 255 255 1.0
184 -2.986035373 -3.627596149 26.645022234 255 255 255 1.0
185 -3.667686171 -4.028623168 29.149784106 255 255 255 1.0
186 -0.069370102 -4.250281421 29.060781157 255 255 255 1.0
187 -2.821176177 -3.698058051 29.357384111 255 255 255 1.0
188 -8.862978797 2.397798127 33.114558288 255 255 255 1.0
189 0.142697705 -23.104088047 83.399022322 255 255 255 1.0
190 -544.449087232 37.238179150 1660.582653948 255 255 255 1.0
191 -3.434174121 2.840683228 28.645208208 255 255 255 1.0
192 0.037061871 -3.750501400 26.642268470 255 255 255 1.0
193 -0.699974679 -25.564955669 107.722363694 255 255 255 1.0
194 2.543018503 -3.792342588 31.619070158 255 255 255 1.0
195 51.829876554 -37.872446260 189.355461268 255 255 255 1.0
196 -6.436501033 2.463124862 30.843718470 255 255 255 1.0
197 -1.458735943 3.443208329 27.372703386 255 255 255 1.0
198 10.515562674 3.831842715 51.751885491 255 255 255 1.0
199 3.383423831 -3.968518133 32.645602897 255 255 255 1.0
200 0.392439710 -4.129281646 28.367769647 255 255 255 1.0
201 -1.679177609 3.906159409 26.205795005 255 255 255 1.0
202 0.948769881 -4.111763590 29.575500340 255 255 255 1.0
203 -4.558680704 -3.398441058 26.578811500 255 255 255 1.0
204 -2.762238925 -4.093274044 29.015160203 255 255 255 1.0
205 -2.575146706 3.535054841 17.101799847 255 255 255 1.0
206 13.727586762 4.264717711 72.916174376 255 255 255 1.0
207 -10.718268146 0.078144655 198.244440529 255 255 255 1.0
208 -16.085391758 3.602189875 50.831769205 255 255 255 1.0
209 8.728758784 -36.486569712 145.574055994 255 255 255 1.0
210 53.325085585 -39.139941466 201.327935163 255 255 255 1.0
211 -9.252364015 2.508861859 33.512934997 255 255 255 1.0
212 -2.724261696 3.047903820 36.845715514 255 255 255 1.0
213 -3.631202969 -3.640654122 26.084018558 255 255 255 1.0
214 14.658694228 -22.567059786 123.171126360 255 255 255 1.0
215 1.297771746 -3.984965274 29.061226037 255 255 255 1.0
216 -8.888708299 2.306947097 33.234010345 255 255 255 1.0
217 -2.919170682 2.294610216 80.547814615 255 255 255 1.0
218 -2.220793449 -31.952646628 148.344143432 255 255 255 1.0
219 4.791596726 -3.648389883 33.281867274 255 255 255 1.0
220 -143.725400013 14.570910175 495.600940972 255 255 255 1.0
221 -988.498975134 61.084002521 3035.851165327 255 255 255 1.0
222 -4.036420076 2.296030289 29.156606298 255 255 255 1.0
223 -15.633818519 3.788228561 49.761421950 255 255 255 1.0
224 29.928705097 -60.162008856 205.603761123 255 255 255 1.0
225 -0.160746613 -2.591332062 32.149180840 255 255 255 1.0
226 -2.275327585 3.060960908 36.924604838 255 255 255 1.0
227 -26.758346336 -5.385506232 93.627052312 255 255 255 1.0
228 -1.796585479 -3.613346527 28.018118324 255 255 255 1.0
229 41.450245788 -59.842097409 211.081050766 255 255 255 1.0
230 -1.458460734 -3.331750426 33.898793643 255 255 255 1.0
231 2.248262504 2.396115638 30.902765417 255 255 255 1.0
232 -2.498515498 3.085985757 28.588257718 255 255 255 1.0
233 5.736349839 -29.388740276 118.658738691 255 255 255 1.0
234 -4.621239320 -4.290333499 29.135788816 255 255 255 1.0
235 -7.076818988 -4.345904973 30.674192996 255 255 255 1.0
236 49.135990138 -35.430413819 190.083709425 255 255 255 1.0
237 -0.477378145 -3.364786904 28.539873648 255 255 255 1.0
238 -3.863506593 3.328572812 36.929331198 255 255 255 1.0
239 -2.797416226 2.649770778 36.996812324 255 255 255 1.0
240 -1.537177497 2.922555508 27.848467140 255 255 255 1.0
241 2.141758843 -3.706314612 30.150486581 255 255 255 1.0
242 31.722968506 -2.664448237 223.440035238 255 255 255 1.0
243 13.918201370 -6.104045396 77.168273046 255 255 255 1.0
244 38.277538981 -30.585319729 149.612016178 255 255 255 1.0
245 -260.234323567 28.665285389 919.963195476 255 255 255 1.0
246 -7.277146360 -3.950786225 31.528356259 255 255 255 1.0
247 1.312799145 -4.165198013 30.015222755 255 255 255 1.0
248 -2.798191731 3.011008098 28.760495542 255 255 255 1.0
249 -0.696995206 3.715145011 19.322717598 255 255 255 1.0
250 -2.184719043 2.746590090 34.810579842 255 255 255 1.0
251 -3.223406739 3.216233841 27.878582389 255 255 255 1.0
252 -0.701097725 -3.887996818 29.346662076 255 255 255 1.0
253 -0.848380988 -4.074390925 29.308118202 255 255 255 1.0
254 -6.330007252 2.380954383 30.400929159 255 255 255 1.0
255 -1.657298036 3.811454151 26.498789495 255 255 255 1.0
256 13.814968886 -5.344678895 77.627612761 255 255 255 1.0
257 -9.176883696 -4.530382518 34.038172267 255 255 255 1.0
258 44.133527636 -51.129211478 206.231204999 255 255 255 1.0
259 13.793035882 -31.263075708 135.643063671 255 255 255 1.0
260 5.587393219 -38.302970814 151.465706025 255 255 255 1.0
261 16.961153823 -21.297884684 110.050407010 255 255 255 1.0
262 1.118154878 1.686516881 12.892172959 255 255 255 1.0
263 1.191317564 1.588591303 12.854955324 255 255 255 1.0
264 -7.508214102 -3.945920357 29.717587557 255 255 255 1.0
265 -2.631113664 -3.630664349 26.701576453 255 255 255 1.0
266 35.326500734 -57.305230840 222.669041468 255 255 255 1.0
267 9.532716763 -22.056367957 85.666261109 255 255 255 1.0
268 0.525187126 -4.265857703 29.376065385 255 255 255 1.0
269 -4.683319587 -3.628251176 26.087042671 255 255 255 1.0
270 236.060763711 27.669618959 834.411333555 255 255 255 1.0
271 -6.591148183 2.622848683 30.762471024 255 255 255 1.0
272 -363.179174611 39.563253541 1237.845672056 255 255 255 1.0
273 13.523122647 -30.138875224 119.915286463 255 255 255 1.0
