pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_071-frame_072,339,109,0.33069097706429373,0.7766794422000437
frame_072-frame_073,372,131,0.281547945609195,0.6241089537417781
frame_073-frame_074,356,88,0.25933300432806605,0.7254134429279809
frame_074-frame_075,374,104,0.20026195592459217,0.5131331545413438
frame_075-frame_076,355,131,0.16455870871878298,1.7328545197291465
frame_076-frame_077,326,63,0.4876421515019264,0.2909780094287877
frame_077-frame_078,354,60,0.24588785956339065,0.8121263709761447
frame_078-frame_079,224,35,0.34937430611903575,0.7401879382684005
frame_079-frame_080,365,59,0.7698416761427709,0.6471607857938116
frame_080-frame_081,350,86,0.3777769771341777,1.1086169054376673
frame_081-frame_082,397,43,0.26763158715210494,0.7565379302606153
frame_082-frame_083,292,0,nan,0.40008787193937023
frame_083-frame_084,226,0,nan,0.6875966445103943
frame_084-frame_085,226,7,0.5104704045838462,0.28598078779626945
frame_085-frame_086,272,17,0.530188938655185,0.26767334913477014
frame_086-frame_087,258,0,nan,0.7824643446808348
frame_087-frame_088,158,0,nan,0.7212663142929991
frame_088-frame_089,146,7,0.3862951847210001,0.6572833852948976
frame_089-frame_090,151,2,0.37688052568296504,0.40305448694586965
frame_090-frame_091,164,1,0.16775108884729034,0.41392395710166663
frame_091-frame_092,194,4,0.577158241711388,0.41116544045181186
frame_092-frame_093,258,2,2.568808130413017,0.4349430284703124
frame_093-frame_094,287,4,0.7716167240771938,0.38352114368621903
frame_094-frame_095,355,0,nan,0.22003705652666866
frame_095-frame_096,348,0,nan,0.33460948059437345
frame_096-frame_097,331,17,0.5313923425058794,0.740141367919289
frame_097-frame_098,350,7,1.1513755769795053,0.41329899960833116
frame_098-frame_099,386,0,nan,0.14280844854490532
frame_099-frame_100,369,0,nan,0.470256850393055
frame_100-frame_101,322,5,1.2781940795734115,0.3329849545324589
frame_101-frame_102,352,36,0.3871419427314089,0.48212092519352434
frame_102-frame_103,365,60,0.29055871904604924,0.41414804156887086
frame_103-frame_104,367,86,0.18811353516824797,0.46433813795001677
frame_104-frame_105,357,173,0.3238279268094203,1.434337704130547
